User,function,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day
User_1,count,67936,67936,67936,67936,67936,67936,67936,67936,67936,67936,67936
User_1,mean,19.34629651,19.86950954,24.46464319,0.200556406,84.71938295,0.232218559,0.35767487,0.280352096,0.129754475,42.20114534,1.406367758
User_1,std,38.45075211,44.84807129,47.42752523,0.437722599,16.89319129,0.422250783,0.479319246,0.449174541,0.336035583,72.97832593,0.49115838
User_1,min,0,0,0,0,32,0,0,0,0,0,1
User_1,25%,0,0,0,0,70,0,0,0,0,0,1
User_1,50%,0,0,0,0,86,0,0,0,0,0,1
User_1,75%,23,17,30,0,97,0,1,1,0,64,2
User_1,max,490,576,496,4,251,1,1,1,1,626.15,2
,,,,,,,,,,,,
User_2,count,60862,60862,60862,60862,60862,60862,60862,60862,60862,60862,60862
User_2,mean,17.43222372,17.75400085,20.78857087,0.203986067,74.53202327,0.158522559,0.384492787,0.313643981,0.143340672,37.21099159,1.361391344
User_2,std,37.0669408,38.6461099,41.21266568,0.460897918,16.86017618,0.365233281,0.486479159,0.463977339,0.350422804,65.0580343,0.480407569
User_2,min,0,0,0,0,10,0,0,0,0,0,1
User_2,25%,0,0,0,0,67,0,0,0,0,0,1
User_2,50%,0,0,0,0,75,0,0,0,0,0,1
User_2,75%,19,17,25,0,82,0,1,1,0,57,2
User_2,max,651,542,544,3,233,1,1,1,1,854.02,2
,,,,,,,,,,,,
User_3,count,67772,67772,67772,67772,67772,67772,67772,67772,67772,67772,67772
User_3,mean,18.79312991,20.72872278,21.42303606,0.262969958,77.53808357,0.162235141,0.387165791,0.345039249,0.105559818,40.16256212,1.395694387
User_3,std,39.25117639,44.99673276,41.66726222,0.579811518,18.08683479,0.368669101,0.487105679,0.475384581,0.307275668,70.21603282,0.489002932
User_3,min,0,0,0,0,3,0,0,0,0,0,1
User_3,25%,0,0,0,0,62,0,0,0,0,0,1
User_3,50%,0,0,0,0,78,0,0,0,0,0,1
User_3,75%,21,23,27,0,85,0,1,1,0,63.045,2
User_3,max,693,740,605,4,194,1,1,1,1,977.61,2
,,,,,,,,,,,,
User_4,count,64796,64796,64796,64796,64796,64796,64796,64796,64796,64796,64796
User_4,mean,17.49705229,16.81299772,22.62763134,0.184548429,71.91808136,0.177742453,0.34837027,0.342459411,0.131427866,37.65239166,1.342768072
User_4,std,37.38736573,36.84930868,44.51593865,0.428428215,11.8344349,0.382298743,0.476457688,0.474536024,0.337870306,66.48670746,0.474638386
User_4,min,0,0,0,0,44,0,0,0,0,0,1
User_4,25%,0,0,0,0,63,0,0,0,0,0,1
User_4,50%,0,0,0,0,72,0,0,0,0,0,1
User_4,75%,18,15,28,0,81,0,1,1,0,56,2
User_4,max,544,581,414,4,189,1,1,1,1,713.15,2
,,,,,,,,,,,,
User_5,count,65054,65054,65054,65054,65054,65054,65054,65054,65054,65054,65054
User_5,mean,12.15181234,11.94867341,16.42824423,0.124957727,74.88469579,0.264780029,0.237003105,0.391044363,0.107172503,26.69528238,1.353367971
